RESPNUM;CCGID;RUNID;INTDATE;DAY;GATE;BAREA;STRATA;PEAK;METH;SAQ;AIRLINE;DESTINATION;FLIGHT;AIRLINE_CODE;DEST_CODE;DESTGEO;DESTMARK;ARRTIME;DEPTIME;HOWLONG;Q2PURP1;Q2PURP2;Q2PURP3;Q3GETTO1;Q3GETTO2;Q3GETTO3;Q3PARK;Q4BAGS;Q4STORE;Q4FOOD;Q4WIFI;Q5TIMESFLOWN;Q5FIRSTTIME;Q6LONGUSE;Q7ART;Q7FOOD;Q7STORE;Q7SIGN;Q7WALKWAY;Q7SCREENS;Q7INFODOWN;Q7INFOUP;Q7WIFI;Q7ROADS;Q7PARK;Q7AIRTRAIN;Q7LTPARKING;Q7RENTAL;Q7ALL;Q8-1;Q8-2;Q8-3;Q8-4;Q8-5;Q8-6;Q9Boarding;Q9AirTrain;Q9Rental;Q9Food;Q9Restroom;Q9All;Q9-1;Q9-2;Q9-3;Q10Safe;Q10-1;Q10-2;Q10-3;Q11TSAPRE;Q12PRECHECKRATE;Q12-1;Q12-2;Q12-3;Q13COUNTY;Q13GETRATE;Q14FIND ;Q14PASSTHRU;Q15PROBLEM;Q15A;Q15-1;Q15-2;Q15-3;NETPRO  ;Q17LIVE;Q18CITY;Q18COUNTY;Q18STATE;Q18ZIP;Q18COUNTRY;HOME;Q19Clear;Q20Age;Q21Gender;Q22Income;Q23FLY;Q24SJC;Q24OAK;LANG;WEIGHT
304;2563;54;3;5;81;F;3;2;1;2;UNITED;SAN DIEGO;460;30;57;1;2;5:00 PM;19:32:00;152;4;;;5;;;;2;2;1;1;5;1;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;57;53;;;;;3;3;3;3;3;3;7;;;3;1;;;2;;;;;2;5;3;3;1;I ASKED TO REFILL MY DRINK AT BURGER KING THEY REFUSED TO REFILL MY DRINK.;25;;;5;1;DANVILLE;CONTRA COSTA COUNTY;CA;94526;US;2;2;5;2;4;1;1;1;1;1,4869248
2250;837;527;16;4;94;G;3;3;1;2;WOW;REYKJAVIK;162;33;54;6;1;3:45 PM;18:55:00;190;2;;;4;;;;1;2;0;1;3;1;4;3;2;2;3;4;4;6;6;3;4;0;0;0;0;3;202;203;;;;;3;0;0;0;3;0;0;;;4;0;;;0;;;;;5;3;4;0;1;HORRIBLE EXPERIENCE AT SECURITY CHECK-IN;31;;;5;1;SAN FRANCISCO;SAN FRANCISCO COUNTY;CA;94122;US;5;0;7;2;0;2;0;1;1;0,6088813
1414;17;70;5;7;76;F;2;1;1;2;UNITED;KANSAS CITY;5454;30;30;3;2;10:00 AM;13:00:00;180;1;;;2;;;;1;2;1;2;1;2;1;3;4;4;5;4;4;5;6;6;5;3;6;6;6;4;0;;;;;;3;6;6;3;2;3;0;;;3;0;;;3;;;;;7;0;4;2;1;EXTREMELY LONG LINES;32;;;5;3;KANSAS CITY;JACKSON COUNTY;MO;64102;US;11;2;5;2;2;2;2;2;1;1,4869248
295;2719;90;9;4;28;B;2;1;1;2;SOUTHWEST;LOS ANGELES;1731;28;34;1;4;9:00 AM;12:10:00;190;1;;;5;;;;2;2;1;2;3;1;4;4;2;3;3;4;5;6;6;3;3;3;3;2;3;3;5;;;;;;4;3;3;4;3;3;0;;;3;20;;;1;2;12;;;6;3;5;4;1;TSA PRECHECK WASN'T GOOD. CANCELLED FLIGHT.;32;53;;5;1;REDWOOD CITY;SAN MATEO COUNTY;CA;94065;US;6;2;6;2;4;2;1;0;1;0,9942748
2039;1073;109;11;6;6;A;2;3;1;2;BRITISH AIRWAYS;LONDON HEATHROW;284;11;32;6;4;1:30 AM;16:30:00;900;1;;;1;;;0;1;2;1;1;2;1;2;3;3;3;3;4;3;3;3;4;2;3;4;6;3;3;202;;;;;;3;4;3;3;3;3;0;;;4;0;;;2;;;;;5;3;3;2;1;SECURITY! MY LAPTOP AND IPAD WERE BOTH TIPPED OUT OF THE TRAY. LUCKILY NO DAMAGE.;32;;;5;3;MOTHERWELL;;;;UNITED KINGDOM;15;2;6;1;4;3;2;2;1;0,6704842
2491;972;907;11;6;2;A;3;2;1;2;ALASKA;SALT LAKE CITY;744;7;55;1;2;5:00 PM;19:30:00;150;2;6;;6;;;;2;2;2;2;3;1;1;3;3;3;3;3;4;4;4;4;3;3;5;5;5;3;212;;;;;;3;3;3;3;3;3;0;;;5;0;;;2;;;;;5;3;3;1;1;SECURITY AND GATES.;32;;;5;1;;;;;US;90;2;1;2;1;3;2;2;1;1,1063322
1255;160;47;3;5;94;G;2;3;1;2;UNITED INTL;TOKYO-NARITA;837;31;69;8;4;N;11:30:00;N;2;;;3;;;;2;0;0;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;;;;;;3;3;3;3;3;3;0;;;3;0;;;0;;;;;11;0;0;0;1;TO TRANSLATE;32;;;5;3;;;;;JAPAN;16;0;3;2;0;2;2;2;4;1,4869248
2041;1074;109;11;6;6;A;2;3;1;2;BRITISH AIRWAYS;LONDON HEATHROW;284;11;32;6;4;1:30 PM;16:30:00;180;2;;;8;;;;1;1;1;1;2;1;4;3;1;1;1;3;4;6;6;4;6;6;4;6;6;2;102;151;202;;;;3;6;6;2;3;3;0;;;4;0;;;2;;;;;6;3;4;1;1;SECURITY LINES ARE DISORGANIZED AND INEFFICIENT CHAOTIC!;32;;;5;3;BASEL;;;;SWITZERLAND;15;2;3;2;4;2;2;2;1;0,6704842
1718;1997;206;20;1;6;A;3;3;1;2;AIR FRANCE/KLM;PARIS-DE GAULLE;85;5;47;6;4;5:00 PM;20:30:00;210;2;;;9;;;;1;2;2;2;1;1;4;2;2;3;3;4;4;6;6;6;4;6;3;6;4;3;210;;;;;;3;3;4;6;2;3;0;;;4;0;;;2;;;;;5;4;4;1;1;GOING THROUGH SECURITY TOO LONG;32;;;5;3;TOULOUSE;;;;FRANCE;15;2;4;2;3;2;2;2;1;0,2863575
2047;1078;109;11;6;6;A;2;3;1;2;BRITISH AIRWAYS;LONDON HEATHROW;284;11;32;6;4;1:30 PM;16:30:00;180;2;;;2;;;;1;2;2;2;2;1;4;4;0;0;4;4;2;2;2;6;4;6;6;6;6;4;201;501;5;;;;5;6;6;4;4;4;0;;;5;3;;;2;;;;;6;5;4;1;1;JUST A HORRIBLY LONG LINE AT BOTH BRITISH AIR CK-IN AND SECURITY.;32;44;;5;1;PORTOLA VALLEY;SAN MATEO COUNTY;CA;94028;US;6;2;7;2;3;2;2;2;1;0,6704842
2253;839;527;16;4;94;G;3;3;1;2;WOW;REYKJAVIK;162;33;54;6;1;4:00 PM;18:55:00;175;2;;;5;;;;2;1;1;2;3;1;3;2;3;3;3;3;3;6;6;6;3;3;4;6;6;3;994;202;;;;;4;4;6;4;4;4;0;;;4;4;;;2;;;;;5;5;3;1;1;1. SECURITY WAS VERY LONG (1 HR.)2. WOW SIGN WAS AT OTHEREND OF THE TERMINAL FROM DESK, WHICH WAS CONFUSING / MISLEADING.;32;5;;5;1;SAN FRANCISCO;SAN FRANCISCO COUNTY;CA;94110;US;5;2;3;1;3;2;2;1;1;0,6088813
754;1627;128;13;1;51;D;1;2;1;2;ALASKA;NEW YORK-JFK;1012;7;42;2;4;5:30 AM;07:00:00;90;2;;;5;;;;2;2;1;2;2;1;3;4;5;4;4;4;4;4;4;6;4;4;4;4;4;5;0;;;;;;5;5;5;5;5;5;0;;;5;0;;;2;;;;;6;5;4;4;1;TOOK A WHILE TO GET OUR CAR SEAT CHECK;32;;;5;3;BROOKLYN;KINGS COUNTY;NY;11238;US;12;2;4;1;4;1;2;2;1;1,1063322
3235;2272;608;23;4;57;D;3;2;1;2;AMERICAN;PHOENIX;1703;8;49;1;4;2:30 PM;17:05:00;155;3;;;2;;;;1;2;1;1;1;1;4;5;5;5;5;5;5;6;6;5;5;6;5;6;6;5;0;;;;;;5;5;6;5;5;5;0;;;5;0;;;2;;;;;5;3;5;1;1;THE SECURITY LINE WAS VERY SLOW-- COULD HAVE BEEN MANAGED BETTER.;32;;;5;3;PRESCOTT;YAVAPAI COUNTY;AZ;86301;US;10;2;2;2;1;2;2;2;1;1,0611394
3204;2043;210;20;1;6;A;1;3;1;2;CATHAY PACIFIC;HONG KONG;873;12;23;8;4;9:00 PM;00:30:00;210;6;;;5;;;;1;2;1;2;1;1;4;4;2;3;3;3;4;4;4;3;4;4;6;6;6;4;0;;;;;;4;6;6;3;3;3;0;;;4;0;;;2;;;;;7;4;4;1;1;EXTREMEL LONG LINE SLOW;32;;;5;1;SAN JOSE;SANTA CLARA COUNTY;CA;95131;US;7;2;5;1;4;2;1;0;1;0,3191648
551;2494;178;17;5;3;A;2;3;1;2;EMIRATES;DUBAI;226;17;17;7;4;1:00 PM;16:45:00;225;1;2;3;2;;;;1;2;2;2;3;1;4;4;0;2;3;3;3;3;3;3;4;4;4;4;4;4;35;501;205;;;;4;4;4;4;4;4;0;;;5;0;;;1;5;0;;;21;4;4;4;1;AT EMIRATE AIR LINE COUNTER.;41;;;5;2;ORANGEVALE;SACRAMENTO COUNTY;CA;95662;US;10;0;7;1;2;1;1;0;1;0,6704842
1770;2101;171;17;5;58;D;1;1;1;2;AMERICAN;CHICAGO-O'HARE;2594;8;12;3;4;8:00 AM;09:25:00;85;2;3;;2;;;;1;0;0;0;1;1;1;3;4;4;4;3;0;4;5;4;3;4;4;4;3;4;19;;;;;;5;4;3;4;4;5;0;;;5;0;;;0;;;;;28;0;4;5;1;THE LADIES ARE RUDE WHO CHECK BAGS;42;;;5;3;CHESAPEAKE;CHESAPEAKE CITY;VA;23321;US;12;1;2;1;1;2;2;0;1;1,0611394
2874;2131;180;18;6;7;G;2;3;1;2;EVA AIR;TAIPEI;7;18;68;8;4;11:20 AM;13:00:00;100;3;;;5;;;;1;0;0;1;4;1;2;3;3;3;3;3;3;4;4;3;2;3;4;6;4;3;11;16;;;;;4;4;4;4;3;4;0;;;4;16;;;2;;;;;6;2;4;5;1;I ONLY HAVE ONE CARRY-ON, NO PERSONAL ITEM, AND IT'S 1. LBS OVER, BUT THE STAFF DIDN'T LET ME JUST CARRY ONE OF MY ITEM IN HAND AND INSIST ME TO PUT IT IN THE CHECK BAG. ;43;;;5;1;SAN MATEO;SAN MATEO COUNTY;CA;94401;US;6;2;4;1;4;1;1;2;1;0,6704842
2020;1061;109;11;6;6;A;2;3;1;2;BRITISH AIRWAYS;LONDON HEATHROW;284;11;32;6;4;2:45 PM;16:30:00;105;2;;;5;;;;1;2;2;1;3;1;4;4;4;0;3;3;0;3;3;2;2;3;6;6;2;3;0;;;;;;4;4;4;4;4;4;0;;;3;0;;;1;5;0;;;6;3;4;4;1;BRITISH AIR CHECK-IN WAS CROWDED. LOUNGE WAS PACKED WITH PEOPLE.;44;46;;5;1;SAN CARLOS;SAN MATEO COUNTY;CA;94070;US;6;2;6;2;4;2;2;2;1;0,6704842
2021;1062;109;11;6;6;A;2;3;1;2;BRITISH AIRWAYS;LONDON HEATHROW;284;11;32;6;4;1:50 PM;16:30:00;160;2;;;11;;;;1;2;2;2;2;1;4;3;3;4;3;6;3;3;3;3;4;4;6;4;6;3;35;501;502;5;;;3;6;6;3;3;3;0;;;3;6;;;1;5;1;;;1;5;4;5;1;LONG LINES AT BRITISH AIRWAYS AS REFERENVED PREVIOUSLY.;44;;;5;1;LIVERMORE;ALAMEDA COUNTY;CA;94551;US;1;2;6;2;4;2;1;1;1;0,6704842
2172;743;532;16;4;22;B;3;2;1;2;FRONTIER;DENVER;668;19;14;1;4;3:00 PM;17:33:00;153;3;;;2;;;;1;2;1;1;2;1;3;3;3;6;4;4;4;6;6;5;4;6;3;6;6;4;0;;;;;;5;5;5;5;5;5;0;;;4;0;;;2;;;;;1;5;5;2;1;WAITED 45MINUTES TO CHECK MY BAG AT FRONTIER;44;;;5;1;ALAMEDA;ALAMEDA COUNTY;CA;94501;US;1;2;3;2;1;2;2;1;1;0,2080380
1903;1951;554;21;2;99;G;3;3;1;2;LUFTHANSA;MUNICH;459;24;39;6;4;12:00 PM;20:55:00;535;7;;;3;;;;2;1;1;1;1;2;1;5;4;3;2;0;4;0;0;1;0;0;0;0;0;BLANK;501;;;;;;4;0;0;3;2;3;0;;;4;0;;;1;5;0;;;11;3;2;2;1;AIRLINE SHOULD BE BETTER EQUIPED AND LUATIC;44;;;5;0;;;;;;99;2;3;1;0;2;2;2;1;0,3607733
2023;1063;109;11;6;6;A;2;3;1;2;BRITISH AIRWAYS;LONDON HEATHROW;284;11;32;6;4;1:20 PM;16:30:00;190;2;;;2;;;;1;0;1;1;2;1;4;4;4;0;0;0;0;0;0;0;4;0;0;0;0;3;0;;;;;;4;4;4;4;4;4;0;;;4;0;;;2;;;;;8;5;0;3;1;LONG WAIT AT BA BAGGAGE COUNTER.;45;;;5;1;FAIRFIELD;SOLANO COUNTY;CA;94534;US;8;0;7;1;4;2;0;1;1;0,6704842
2139;724;532;16;4;22;B;3;2;1;2;FRONTIER;DENVER;668;19;14;1;4;3:00 PM;17:33:00;153;3;;;2;;;;1;2;2;2;2;1;1;3;3;3;2;4;4;4;4;6;6;6;6;6;6;4;0;;;;;;4;4;4;4;4;5;0;;;3;0;;;0;;;;;0;0;0;0;1;FRONTIER KIOSK WAS DOWN FOR AT LEAST AN HOUR AND NO ATTENDANTS ON DUTY.;45;;;5;2;;;;;US;91;2;2;2;0;2;2;1;1;0,2080380
3106;1754;549;20;1;51;D;3;2;1;2;ALASKA;NEWARK;1182;7;43;2;4;7:55 PM;21:35:00;100;2;;;3;;;;0;0;1;2;3;1;2;3;3;6;3;6;3;6;6;6;6;6;6;6;6;3;63;;;;;;3;6;6;3;4;3;0;;;3;0;;;4;;;;;11;0;6;6;1;CHANGING GATES SEVERAL TIMES NO ANOUNCEMENT;51;;;5;3;SUSSEX;SUSSEX COUNTY;NJ;7461;US;12;0;6;2;2;1;2;2;1;1,1063322
1404;53;84;8;3;91;G;2;3;1;2;UNITED INTL;PARIS-DE GAULLE;990;31;47;6;4;11:45 AM;14:45:00;180;2;;;3;;;;2;1;1;2;1;1;4;3;2;2;4;3;3;0;0;0;0;0;0;0;0;BLANK;0;;;;;;4;0;0;4;0;0;0;;;5;0;;;1;5;0;;;11;6;6;6;1;GATE CHANGE.;51;;;5;3;PORTLAND;MULTNOMAH COUNTY;OR;97202;US;10;2;7;1;3;2;2;2;1;1,4869248
2377;259;904;2;4;72;F;2;2;1;2;UNITED;AUSTIN;1889;30;4;3;2;12:35 PM;16:45:00;250;1;5;;3;;;;2;2;1;1;1;2;1;6;3;6;3;5;4;0;0;4;6;6;6;6;6;4;0;;;;;;4;6;6;3;3;3;0;;;3;0;;;4;;;;;11;1;3;6;1;WE AIR SFO CREW WASN'T READY FOR US. HAD TO STAY ON PLANE MISSED MY CONNECTING FLIGHT. SCREWED UP MY SCHEDULE ROYALLY. ;52;;;5;3;;;;;CANADA;13;2;5;2;3;2;2;2;1;1,4869248
3138;687;616;24;5;41;C;2;2;1;2;DELTA;SALT LAKE CITY;1241;16;55;1;2;11:30 AM;16:45:00;315;1;;;9;;;;2;1;1;1;1;2;1;6;4;3;3;3;3;6;6;3;3;6;2;6;4;3;5;153;801;;;;3;3;3;3;3;3;0;;;3;11;;;2;;;;;18;3;5;5;1;FLIGHT CANCELLATION. DELAYS. RUDE AIRLINE ATTENDANTS.;53;42;;5;3;LAKE WORTH;PALM BEACH COUNTY;FL;33467;US;12;2;2;2;2;2;1;2;1;1,1789461
773;176;44;3;5;88;G;1;3;1;2;UNITED INTL;SAN JOSE DEL CABO;1761;31;58;4;1;4:30 AM;08:30:00;240;2;;;5;;;;1;0;1;0;5;1;2;5;3;3;5;4;4;6;6;2;4;6;6;6;6;4;5;;;;;;4;6;6;4;4;4;0;;;5;4;;;2;;;;;5;3;4;4;1;ORIGINALL FLIGHT CANCELLED.;53;;;5;1;SAN FRANCISCO;SAN FRANCISCO COUNTY;CA;94121;US;5;2;3;1;4;1;2;2;1;1,4869248
1545;644;620;24;5;40;C;3;2;1;2;DELTA;NEW YORK-JFK;1155;16;42;2;4;2:30 PM;21:15:00;405;3;;;3;;;;0;1;1;1;1;1;2;2;3;2;2;3;2;2;2;4;6;6;4;6;6;3;60;;;;;;3;3;3;3;4;3;0;;;3;12;;;2;;;;;11;3;3;4;1;FLIGHT TO JFK THROUGH BOSTON WAS DELAYED-- LEAVING 35 MINUTES TO GET BOARDING PASSES, AND ON NEXT FLIGHT TO JFK!;53;;;5;3;WOODEND;;;;NEW ZEALAND;19;2;6;1;2;2;2;2;1;1,1789461
2892;1743;205;20;1;7;A;3;3;1;2;WOW;REYKJAVIK;162;33;54;6;1;4:00 PM;18:55:00;175;2;3;;2;;;;0;1;0;1;2;1;4;2;3;2;3;4;3;3;3;1;2;3;4;3;4;2;11;14;;;;;4;4;4;4;4;4;0;;;5;0;;;2;;;;;18;3;4;3;1;TRAFFIC.;73;;;5;2;PACIFIC GROVE;MONTEREY COUNTY;CA;93950;US;10;2;2;2;2;1;2;1;1;0,6088813
2721;1201;102;11;6;68;E;2;1;1;2;UNITED;KAHULUI;1273;30;28;1;1;9:32 AM;11:02:00;90;2;;;5;;;;1;1;2;2;4;1;4;4;4;4;4;4;4;6;6;2;4;4;4;6;4;BLANK;0;;;;;;4;4;4;4;4;4;0;;;4;0;;;1;5;0;;;5;3;3;3;1;THE TRAFFIC AROUND THE TERMINAL TO GET TO THE DEPARTURE GATES WAS TERRIBLE;73;;;5;1;SAN FRANCISCO;SAN FRANCISCO COUNTY;CA;94115;US;5;2;5;2;4;1;2;1;1;1,4869248
819;1580;134;13;1;54;D;2;1;1;2;ALASKA;PORTLAND;2804;7;50;1;2;11:30 AM;12:50:00;80;2;;;2;;;;1;1;2;2;2;1;4;2;2;2;0;3;3;4;4;6;4;2;3;3;1;3;0;;;;;;3;3;2;3;3;4;0;;;3;4;;;1;4;2;;;5;3;3;3;1;;0;;;5;3;PORTLAND;MULTNOMAH COUNTY;OR;97217;US;10;0;6;2;2;2;2;1;1;1,1063322
3272;2296;606;22;3;72;F;3;2;1;2;UNITED;LAS VEGAS;394;30;31;1;4;7:00 PM;21:10:00;130;1;;;11;;;;1;0;0;1;1;1;4;2;3;6;4;2;2;2;0;4;6;6;6;6;6;3;0;;;;;;4;6;6;6;6;3;0;;;4;0;;;0;;;;;11;0;5;3;2;;;;;5;3;;;;;GERMANY;15;2;5;1;5;3;2;2;1;1,4869248
841;1600;132;13;1;54;D;1;1;1;2;ALASKA;SEATTLE;1747;7;62;1;4;9:00 AM;10:35:00;95;1;;;9;;;;1;0;0;0;4;1;1;3;3;3;3;3;4;3;3;3;4;3;4;3;3;3;0;;;;;;3;3;3;3;3;3;0;;;3;0;;;1;3;15;;;0;0;3;3;2;;;;;5;1;;;;;US;90;2;2;2;2;3;2;2;1;1,1063322
253;2513;184;18;6;101;G;2;3;1;2;AIR CANADA;TORONTO;750;3;70;4;4;2:15 PM;16:55:00;160;1;;;4;;;;1;2;1;1;1;1;2;3;3;3;3;3;3;3;3;5;4;6;6;6;6;3;103;;;;;;4;6;6;3;3;3;0;;;4;6;;;2;;;;;0;0;3;3;2;;;;;5;3;TORONTO;;;;CANADA;13;2;5;1;4;2;2;2;1;0,3461202
266;2526;184;18;6;101;G;2;3;1;2;AIR CANADA;TORONTO;750;3;70;4;4;2:00 PM;16:55:00;175;1;;;3;;;;2;2;1;1;5;1;3;3;2;2;3;3;3;3;3;3;0;0;0;0;0;3;102;;;;;;3;0;3;3;3;3;0;;;3;0;;;2;;;;;11;0;3;0;2;;;;;5;3;;;;;;99;2;5;1;4;1;1;2;1;0,3461202
2272;2758;67;5;7;73;F;1;1;1;2;UNITED;BAKERSFIELD;5916;30;5;1;1;9:00 AM;10:28:00;88;1;;;3;;;;2;0;1;2;2;1;4;3;4;4;5;4;5;6;6;6;6;6;6;6;6;4;0;;;;;;4;6;6;4;4;4;0;;;5;3;;;4;;;;;11;0;4;0;2;;;;;5;2;BAKERSFIELD;KERN COUNTY;CA;93306;US;10;2;7;1;4;2;1;2;1;1,4869248
1196;1437;523;15;3;28;B;3;2;1;2;SOUTHWEST;LAS VEGAS;5606;28;31;1;4;5:30 PM;19:55:00;145;1;;;11;;;;2;1;1;2;4;1;4;2;2;3;3;3;3;2;2;2;3;6;4;6;3;2;102;151;801;;;;3;6;3;2;3;2;0;;;3;0;;;1;5;0;;;5;2;5;5;2;;;;;5;3;HENDERSON;CLARK COUNTY;NV;89012;US;10;2;4;2;4;2;1;1;1;0,9942748
2363;251;904;2;4;72;F;2;2;1;2;UNITED;AUSTIN;1889;30;4;3;2;3:15 PM;16:45:00;90;1;;;5;;;;2;2;2;2;6;1;4;3;3;3;3;3;3;6;6;6;3;6;6;6;6;3;804;36;;;;;2;6;6;4;3;3;7;;;5;5;;;1;5;1;;;5;3;4;5;2;;;;;5;3;AUSTIN;HAYS COUNTY;TX;78737;US;11;2;5;1;4;1;2;1;1;1,4869248
3181;709;615;24;5;40;C;2;2;1;2;DELTA;LOS ANGELES;2848;16;34;1;4;1:30 PM;16:00:00;150;1;;;5;;;;2;2;1;1;2;1;3;4;4;3;4;4;4;4;4;4;3;6;4;6;6;3;5;;;;;;4;4;6;4;4;4;0;;;5;0;;;1;5;1;;;5;3;5;0;2;;;;;5;3;MONTEREY PARK;LOS ANGELES COUNTY;CA;91754;US;10;2;4;1;4;2;0;1;1;1,1789461
2918;679;617;24;5;41;C;3;2;1;2;DELTA;SEATTLE;5821;16;62;1;4;4:30 PM;18:00:00;90;1;;;9;;;;2;2;2;1;2;1;1;3;3;3;4;3;3;6;6;4;4;6;4;6;4;4;0;;;;;;4;5;3;6;3;4;0;;;3;0;;;1;4;21;;;7;3;5;5;2;;;;;5;3;SEATTLE;KING COUNTY;WA;98115;US;10;2;3;1;3;2;1;2;1;1,1789461
11;408;13;1;3;25;B;3;2;1;2;SOUTHWEST;LOS ANGELES;5821;28;34;1;4;5:00 PM;20:20:00;200;1;;;5;;;;2;2;1;1;3;1;2;2;1;3;3;3;4;6;6;4;6;2;6;6;6;3;0;;;;;;3;6;6;2;3;2;0;;;4;0;;;1;5;0;;;5;3;4;4;2;;;;;5;3;LOS ANGELES;LOS ANGELES COUNTY;CA;90066;US;10;2;3;1;4;2;1;0;1;0,9942748
904;1375;544;18;6;92;G;3;3;1;2;AIR CANADA;TORONTO;754;3;70;4;4;8:30 PM;22:30:00;120;1;;;9;;;;2;0;2;1;1;1;2;3;2;2;3;3;3;6;6;1;1;6;1;6;1;3;0;;;;;;3;6;1;3;2;3;0;;;3;0;;;1;5;0;;;7;3;3;3;2;;;;;5;3;;;;;CANADA;13;2;6;1;0;0;1;2;1;0,3461202
2937;1417;524;15;3;24;B;3;2;1;2;SOUTHWEST;SAN DIEGO;5698;28;57;1;2;5:00 PM;20:45:00;225;1;;;6;;;;2;1;1;1;3;1;4;2;2;2;4;3;3;3;3;5;6;6;4;6;6;3;805;;;;;;3;3;6;2;2;3;0;;;4;0;;;1;5;0;;;24;3;3;3;2;;;;;5;3;SAN DIEGO;SAN DIEGO COUNTY;CA;92107;US;10;2;4;1;4;2;2;2;1;0,9942748
3143;690;616;24;5;41;C;2;2;1;2;DELTA;SALT LAKE CITY;1241;16;55;1;2;3:30 PM;16:45:00;75;1;;;5;;;;2;1;2;1;5;1;3;4;2;2;4;3;4;3;2;4;6;6;4;6;4;4;5;;;;;;4;3;4;3;4;4;0;;;5;0;;;1;5;0;;;5;3;5;5;2;;;;;5;3;COEUR D ALENE;KOOTENAI COUNTY;ID;83815;US;10;2;5;2;3;2;1;1;1;1,1789461
1167;1273;93;10;5;40;C;1;1;1;2;DELTA;NEW YORK-JFK;407;16;42;2;4;6:50 AM;08:30:00;100;1;;;4;;;;2;2;1;1;1;1;4;6;2;2;4;6;4;6;6;5;6;6;6;6;6;3;36;102;;;;;5;6;6;5;6;5;0;;;3;0;;;1;5;0;;;5;3;5;5;2;;;;;5;3;NEW YORK;NEW YORK COUNTY;NY;10014;US;12;2;4;1;4;2;2;2;1;1,1789461
302;2562;54;3;5;81;F;3;2;1;2;UNITED;SAN DIEGO;460;30;57;1;2;5:30 PM;19:32:00;122;1;;;5;;;;0;0;1;1;1;2;1;6;3;6;3;4;6;6;6;3;6;6;6;6;6;3;0;;;;;;3;6;6;3;4;4;0;;;5;1;;;2;;;;;5;3;3;3;2;;;;;5;3;SAN DIEGO;SAN DIEGO COUNTY;CA;92110;US;10;2;2;1;2;2;2;2;1;1,4869248
1607;1910;179;17;5;8;A;3;3;1;2;VIRGIN ATLANTIC;LONDON HEATHROW;20;32;32;6;4;2:30 PM;17:50:00;200;1;;;5;;;;2;2;1;1;1;1;4;2;2;2;5;5;4;6;6;5;3;6;6;6;6;3;152;;;;;;5;6;6;4;4;4;0;;;5;3;;;2;;;;;5;3;5;3;2;;;;;5;3;BRISTOL;;;;UNITED KINGDOM;15;2;6;1;4;2;2;2;1;0,6704842
1758;1937;554;21;2;99;G;3;3;1;2;LUFTHANSA;MUNICH;459;24;39;6;4;N;20:55:00;N;1;;;5;;;;1;1;2;1;1;2;1;6;6;2;4;4;4;6;6;4;6;6;6;6;6;BLANK;152;35;;;;;4;6;6;6;6;6;0;;;4;10;;;2;;;;;7;3;3;3;2;;;;;5;3;KRAKOW;;;;POLAND;15;2;3;1;0;2;2;2;1;0,3607733
1740;1975;556;21;2;101;G;3;3;1;2;AIR CANADA;TORONTO;754;3;70;4;4;8:45 PM;22:30:00;105;1;;;5;;;;2;2;2;1;1;1;1;6;6;6;3;3;6;6;6;3;6;6;6;6;6;3;0;;;;;;2;6;6;6;3;2;7;;;3;0;;;2;;;;;5;3;3;3;2;;;;;5;3;TORONTO;;;;CANADA;13;2;3;1;2;2;2;2;1;0,3461202
265;2525;184;18;6;101;G;2;3;1;2;AIR CANADA;TORONTO;750;3;70;4;4;10:00 AM;16:55:00;415;1;;;5;;;;2;2;2;1;3;1;2;6;6;6;3;3;6;6;6;3;6;6;6;6;6;3;0;;;;;;3;6;6;6;3;3;0;;;3;0;;;2;;;;;5;3;3;2;2;;;;;5;3;;;;;CANADA;13;2;3;1;4;1;2;2;1;0,3461202
911;1378;544;18;6;92;G;3;3;1;2;AIR CANADA;TORONTO;754;3;70;4;4;N;22:30:00;N;1;;;3;;;;1;2;2;2;3;1;3;2;2;2;3;2;2;2;2;2;3;3;3;3;3;3;0;;;;;;2;2;3;3;3;3;0;;;4;0;;;2;;;;;11;3;3;3;2;;;;;5;3;;;;;CANADA;13;2;0;0;0;0;0;0;1;0,3461202
3158;699;616;24;5;41;C;2;2;1;2;DELTA;SALT LAKE CITY;1241;16;55;1;2;4:00 PM;16:45:00;45;1;;;6;;;;2;2;1;2;3;1;4;3;2;3;3;3;3;6;6;6;6;6;4;6;6;3;102;;;;;;4;4;6;3;3;3;0;;;4;0;;;2;;;;;5;3;3;3;2;;;;;5;3;FARMINGTON;DAVIS COUNTY;UT;84025;US;10;2;6;1;4;2;0;1;1;1,1789461
1241;142;49;3;5;7;A;2;3;1;2;CHINA EASTERN;SHANGHAI;590;13;64;8;4;9:00 AM;12:00:00;180;1;;;3;;;;1;1;1;1;1;2;1;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;14;25;;;;;4;6;6;4;4;4;0;;;3;0;;;2;;;;;11;3;3;2;2;;;;;5;3;OCALA;MARION COUNTY;FL;34474;US;12;2;2;2;1;2;2;2;1;0,6704842
1562;317;24;2;4;46;C;2;1;1;2;DELTA;ATLANTA;1680;16;2;2;4;10:45 AM;12:30:00;105;1;;;5;;;;1;2;2;1;2;1;1;3;3;3;1;3;3;3;3;4;3;3;3;3;3;3;0;;;;;;4;4;4;4;5;5;0;;;3;0;;;2;;;;;11;3;5;4;2;;;;;5;0;;;;;;99;0;3;2;0;2;2;2;1;1,1789461
